"crAss"	"res"	"Tetracycline"	"Aminoglycoside"	"MLS"	"Beta_lactam"	"Trimethroprim"	"Sulphonamide"	"Vancomycin"	"Chloramphenicol"	"Quinolone"	"rich"	"mge"	"intI1"	"bp"	"rel_crAss"	"rel_res"	"rel_rich"	"rel_mge"	"rel_int"	"country"	"rel_tet"	"rel_amino"	"rel_mls"	"rel_beta"	"rel_tri"	"rel_sul"	"rel_van"	"rel_clo"	"rel_qui"	"crAss_detection"
"JL30"	0.001	82082	234	10567	12846	1316	118	56059	0.5	62	630	161	25818	597	3396142372	0.000294451730953522	24169.186980127	47.406728683517	7602.15478975803	175.787683379253	"India polluted"	68.9017050431242	3111.47144098587	3782.52693582894	387.498477934835	34.7453042525156	16506.6695855235	0.147225865476761	18.2560073191184	185.504590500719	"crAssphage not detected"
"JL31"	0.001	30228	1736	4808	334	3668	66	12199	2	19	5283	130	20950	262	6127996836	0.000163185462845758	4932.77017090157	21.2141101699485	3418.73544661863	42.7545912655886	"India polluted"	283.289963500236	784.595705362404	54.5039445904831	598.56427771824	10.77024054782	1990.6994612554	0.326370925691516	3.1005237940694	862.108800214139	"crAssphage not detected"
"JL32"	0.00208108	45368	2424	7442	506	9993	114	8004	0.5	65	12192	211	28199	506	4877367164	0.000426681020727846	9301.73974493096	43.2610449255077	5781.60287134783	103.744496361644	"India polluted"	496.989445020998	1525.82320538212	103.744496361644	2048.851288818	23.3732659787103	1641.04930608419	0.102514324468028	13.3268621808436	2499.70928782839	"crAssphage detected"
"JL33"	0.001	114817	87	12430	559	2141	138	97897	0.5	131	1208	174	39206	963	6760250574	0.000147923510978426	16984.1337600099	25.7386909102461	5799.48917142017	142.450341072224	"India polluted"	12.8693454551231	1838.68924146184	82.6892426369402	316.70423700481	20.4134445150228	14481.267954255	0.073961755489213	19.3779799381738	178.691601261939	"crAssphage not detected"
"SRR52985371"	0.0415907	189	33	22	20	53	0.5	4	0.5	13	40	84	3035	38	5298337790	0.00784976376525061	35.6715648361861	15.8540288160827	572.821160200131	7.17206065489456	"Spain"	6.22836846346107	4.15224564230738	3.77476876573398	10.003137229195	0.0943692191433495	0.754953753146796	0.0943692191433495	2.45359969772709	7.54953753146796	"crAssphage detected"
"SRR53063981"	0.024973	149	21	17	29	35	2	2	1	9	29	69	1861	28	3976778646	0.00627970581795364	37.4675115875182	17.350726842542	467.966705130009	7.04087466074168	"Spain"	5.28065599555626	4.27481675830745	7.29233447005388	8.8010933259271	0.502919618624406	0.502919618624406	0.251459809312203	2.26313828380983	7.29233447005388	"crAssphage detected"
"SRR53063991"	0.0104054	94	22	10	19	18	2	3	0.5	5	14	52	1608	26	3496353966	0.00297607167385981	26.8851497628945	14.872636039048	459.907668284407	7.436318019524	"Spain"	6.29226909344338	2.86012231520154	5.43423239888292	5.14822016736277	0.572024463040308	0.858036694560461	0.143006115760077	1.43006115760077	4.00417124128215	"crAssphage detected"
"SRR53064001"	0.0208108	153	8	24	30	30	1	6	0.5	14	36	70	2022	16	4322279446	0.00481477430138375	35.3979889341935	16.1951583359055	467.808716502871	3.7017504767784	"Spain"	1.8508752383892	5.55262571516761	6.94078214395951	6.94078214395951	0.23135940479865	1.3881564287919	0.115679702399325	3.2390316671811	8.32893857275141	"crAssphage detected"
"SRR53064011"	0.0332973	161	13	19	29	46	1	5	0.5	10	33	66	2192	26	4514348116	0.00737588221918152	35.6640639718003	14.6200510691852	485.562908237181	5.75941405755781	"Spain"	2.8797070287789	4.20880258052301	6.42396183342986	10.1897325633715	0.221515925290685	1.10757962645342	0.110757962645342	2.21515925290685	7.3100255345926	"crAssphage detected"
"SRR53064021"	0.0103951	122	9	7	23	42	0.5	1	0.5	16	20	60	1781	34	3958921846	0.00262574013945311	30.816470934698	15.1556414432941	449.86995684178	8.58819681786666	"Spain"	2.27334621649412	1.76815816838431	5.80966255326274	10.6089490103059	0.126297012027451	0.252594024054902	0.126297012027451	4.04150438487843	5.05188048109803	"crAssphage detected"
"SRR53064031"	0.114459	2514	358	389	942	507	9	28	3	68	147	308	43329	606	7329249628	0.015616741932589	343.009192973281	42.0234015257639	5911.79209321372	82.682406898094	"Spain"	48.8453822929334	53.0750103685785	128.526117653473	69.1748849790984	1.2279565380905	3.8203092296149	0.409318846030168	9.27789384335048	20.0566234554782	"crAssphage detected"
"SRR53064041"	0.151909	2794	388	511	1002	522	3	32	1	101	153	306	47232	699	7962867876	0.0190771719894854	350.878608499971	38.4283658557592	5931.53129444189	87.7824435724695	"Spain"	48.726163241943	64.1728593212188	125.834060743368	65.5542711657068	0.376748684860384	4.01865263851076	0.125582894953461	12.6838723902996	19.2141829278796	"crAssphage detected"
"SRR53064061"	0.124865	2386	307	403	869	494	8	18	3	88	123	312	38179	546	7346149150	0.0169973407087712	324.796019149706	42.471231338939	5197.14468361972	74.3246548431432	"Spain"	41.7906026315842	54.8586738127962	118.293269338263	67.2461162866534	1.08900593176767	2.45026334647725	0.408377224412875	11.9790652494443	16.7434662009279	"crAssphage detected"
"SRR53064071"	0.160171	2301	356	410	778	505	14	16	0.5	63	110	301	37647	557	7683230792	0.0208468291967455	299.483389513155	39.1762278328812	4899.89185788863	72.4955445279562	"Spain"	46.3346747790887	53.3629681444561	101.259485893626	65.7275583242691	1.82215013176191	2.08245729344219	0.0650767904200684	8.19967559292862	14.316893892415	"crAssphage detected"
"SRR53064091"	0.199712	2722	367	502	948	553	12	23	4	71	178	336	45238	701	9832389996	0.0203116434642286	276.840117317088	34.1727698084282	4600.91595414784	71.2949751062743	"Spain"	37.3256146419439	51.0557453685445	96.4160291023509	56.242683643038	1.22045606458672	2.33920745712455	0.406818688195573	7.22103171547143	18.103431624703	"crAssphage detected"
"SRR53064101"	0.187277	2291	364	417	724	491	9	17	7	76	131	302	36092	584	7649744040	0.0244814727160466	299.487144670529	39.4784450853339	4718.06635768169	76.3424236087251	"Spain"	47.583291427356	54.511627816504	94.6436895423236	64.1851540956918	1.17650995287419	2.22229657765124	0.915063296679924	9.93497293538203	17.1247559807243	"crAssphage detected"
"SRR5535873"	0.628775	386	91	39	108	91	1	8	2	9	34	155	9224	58	2429184568	0.258842003313764	158.90105885112	63.8074200049833	3797.15898145785	23.8763249050905	"US"	37.4611304545386	16.0547701948023	44.4593636163755	37.4611304545386	0.411660774225699	3.29328619380559	0.823321548451398	3.70494696803129	13.9964663236738	"crAssphage detected"
"SRR5535874"	0.336012	199	71	10	47	39	1	8	1	3	19	93	2454	15	2286906739	0.146928597598575	87.0171033240372	40.6662844680174	1073.06518370446	6.5590781400028	"US"	31.0463031960133	4.37271876000187	20.5517781720088	17.0536031640073	0.437271876000187	3.4981750080015	0.437271876000187	1.31181562800056	8.30816564400355	"crAssphage detected"
"SRR5535875"	0.118601	124	39	15	22	20	0.5	5	0.5	2	17	79	1542	6	1039652891	0.114077497428899	119.270576817931	75.9868997469079	1483.18733430041	5.77115694280313	"US"	37.5125201282204	14.4278923570078	21.1609087902782	19.2371898093438	0.480929745233594	4.80929745233594	0.480929745233594	1.92371898093438	16.3516113379422	"crAssphage detected"
"SRR5535876"	0.56115	470	160	42	104	93	2	9	2	9	38	153	7284	41	2841355294	0.197493780937908	165.414019497134	53.847542517152	2563.56535748324	14.4297336157074	"US"	56.3111555734923	14.7816783380417	36.60225112277	32.7308591770924	0.703889444668654	3.16750250100894	0.703889444668654	3.16750250100894	13.3738994487044	"crAssphage detected"
"SRR5535877"	8.80139	2051	317	165	631	563	2	8	7	89	108	235	41108	90	7046611400	1.24902446018238	291.06188543333	33.3493627873392	5833.7259806891	12.7720963866405	"US"	44.9861617173894	23.4155100421743	89.5465868885575	79.8965585075402	0.283824364147567	1.13529745659027	0.993385274516486	12.6301842045668	15.3265156639686	"crAssphage detected"
"SRR5535878"	5.58186	292	90	36	56	27	1	5	1	5	46	94	3273	25	2999831400	1.86072457272099	97.3388037741054	31.3350943656367	1091.06131764605	8.33380169298848	"US"	30.0016860947585	12.0006744379034	18.6677157922942	9.00050582842756	0.333352067719539	1.6667603385977	0.333352067719539	1.6667603385977	15.3341951150988	"crAssphage detected"
"SRR5535879"	1.98365	232	67	34	44	28	0.5	0.5	0.5	5	40	78	2839	25	1955742000	1.01426977587023	118.625053815892	39.8825611967223	1451.62296458326	12.7828721784366	"US"	34.2580974382102	17.3847061626738	22.4978550340485	14.316816839849	0.255657443568732	0.255657443568732	0.255657443568732	2.55657443568732	20.4525954854986	"crAssphage detected"
"SRR5535880"	2.39103	258	75	30	45	29	0.5	1	2	6	56	91	3323	27	2242575800	1.06619807455338	115.046278480308	40.5783385337521	1481.77823019405	12.0397268177067	"US"	33.4436856047408	13.3774742418963	20.0662113628445	12.9315584338331	0.222957904031605	0.44591580806321	0.89183161612642	2.67549484837926	24.9712852515398	"crAssphage detected"
"SRR5535885"	0.00206047	59	1	6	0.5	2	0.5	0.5	0.5	0.5	50	7	836	2	3607086600	0.000571228314840015	16.356690743161	1.94062432545978	231.765990869196	0.554464092988508	"US"	0.277232046494254	1.66339227896552	0.138616023247127	0.554464092988508	0.138616023247127	0.138616023247127	0.138616023247127	0.138616023247127	13.8616023247127	"crAssphage detected"
"SRR5535886"	0.00206047	54	1	8	4	6	0.5	0.5	0.5	0.5	35	16	962	4	3319113800	0.000620789199815927	16.2694029954622	4.82056385050732	289.836401511753	1.20514096262683	"US"	0.301285240656708	2.41028192525366	1.20514096262683	1.80771144394025	0.150642620328354	0.150642620328354	0.150642620328354	0.150642620328354	10.5449834229848	"crAssphage detected"
"SRR5535887"	0.00206047	56	2	9	4	2	4	0.5	0.5	0.5	35	14	1017	2	4451021000	0.00046292075458642	12.5813830130211	3.14534575325526	228.486902218615	0.449335107607895	"US"	0.449335107607895	2.02200798423553	0.89867021521579	0.449335107607895	0.89867021521579	0.112333776901974	0.112333776901974	0.112333776901974	7.86336438313816	"crAssphage detected"
