"crAss"	"res"	"int1"	"mge"	"bp"	"country"	"rel_crAss"	"rel_res"	"rel_int"	"rel_mge"
"SRR341707"	123.265	15810	4	12426	3403347660	"China"	36.2187505698433	4645.42608614954	1.17531336777977	3651.11097700786
"SRR341708"	NA	14376	5	24336	3161804400	"China"	NA	4546.77082491251	1.58137549558727	7696.87081212234
"SRR341709"	NA	16512	60	7989	3067903440	"China"	NA	5382.17721741594	19.5573300051451	2604.05849018508
"SRR341710"	NA	15075	33	14509	2975308200	"China"	NA	5066.7019974603	11.0912879546395	4876.46960405648
"SRR341711"	0.00182352	18448	6	18119	2834001180	"China"	0.000643443627641679	6509.52445968989	2.11714802461727	6393.43417634004
"SRR341712"	NA	8178	3	3059	2658622680	"China"	NA	3076.02882557219	1.12840382449457	1150.5957663763
"SRR341713"	NA	14748	21	10466	3310077060	"China"	NA	4455.48539585964	6.34426317555278	3161.8599235874
"SRR341714"	0.12607	19554	765	52698	2425542840	"China"	0.0519759939593563	8061.70053050887	315.39331624421	21726.2705613561
"SRR341715"	NA	14307	1	15910	2924568900	"China"	NA	4892.00305727111	0.341930737210534	5440.11802901959
"SRR341716"	NA	13296	4	5935	2952677520	"China"	NA	4503.03153999696	1.3547026293613	2010.04002631483
"SRR341717"	720.658	15815	8	36094	2891285280	"China"	249.251779125718	5469.88569733942	2.76693554086091	12483.7214264792
"SRR341718"	0.00370885	7732	7	17424	2157301980	"China"	0.00171920761876833	3584.10647729531	3.24479375854464	8076.75520698312
"SRR341719"	74.4185	14681	5	6652	2140182360	"China"	34.7720369025002	6859.69582517258	2.33624951473761	3108.14635440692
"SRR341720"	NA	16292	0	5144	3178763460	"China"	NA	5125.26339408721	NA	1618.23931372358
"SRR341721"	0.051924	11942	7	4951	2097111780	"China"	0.0247597674550281	5694.49855457872	3.33792412343418	2360.86604787466
"SRR341722"	0.14277	27749	17	17030	3260425680	"China"	0.0437887607362975	8510.85187134215	5.21404309390668	5223.24434642534
"SRR341723"	0.012981	7138	0	31548	2134350900	"China"	0.00608194275833463	3344.34230097778	NA	14781.0746583423
"SRR341724"	0.424551	12950	0	5133	3035060820	"China"	0.139882205062368	4266.80082147415	NA	1691.23464221056
"SRR341725"	0.00556328	16427	97	8837	2293121520	"China"	0.00242607291043172	7163.59767972523	42.3004185142356	3853.6989526835
"ERR011089"	NA	1837	0	671	628396200	"European"	NA	2923.31494047863	NA	1067.79767286944
"ERR011090"	NA	4801	0	1568	1674777450	"European"	NA	2866.64953603238	NA	936.243797646069
"ERR011091"	NA	3909	0	1339	1189130400	"European"	NA	3287.27614734263	NA	1126.03293970115
"ERR011092"	15.2042	3381	1	1433	671596800	"European"	22.6388809476162	5034.2705623374	1.488988631274	2133.72070861565
"ERR011093"	45.9483	9014	2	3568	1628402850	"European"	28.2167892300115	5535.48527626318	1.22819731002067	2191.10400107688
"ERR011094"	14.5633	8236	2	3698	1478625000	"European"	9.84921802350156	5570.03973285992	1.35260799729478	2500.97218699806
"ERR011101"	NA	1666	0	1679	2222188350	"European"	NA	749.711427476433	NA	755.561516646418
"ERR011102"	NA	1776	0	1723	2344097700	"European"	NA	757.647601463028	NA	735.037622365313
"ERR011103"	NA	1808	0	1750	2387499300	"European"	NA	757.277708940061	NA	732.98450810017
"ERR011104"	0.00154536	1716	0	1608	2265521550	"European"	0.000682121077153294	757.441481852159	NA	709.770339637687
"ERR011109"	1.90952	1129	0	1159	731421300	"European"	2.61069782900771	1543.57003275677	NA	1584.58606551382
"ERR011110"	6.42263	2992	0	2483	1692599250	"European"	3.79453671623688	1767.69545419567	NA	1466.97453635289
"ERR011111"	4.37073	3742	2	2956	1959439350	"European"	2.23060234040926	1909.72994392503	1.02070013037148	1508.59479268904
"ERR011114"	NA	2009	0	698	743417700	"European"	NA	2702.38386844973	NA	938.906889088059
"ERR011115"	NA	4932	0	1503	1663295250	"European"	NA	2965.19815107991	NA	903.62790370501
"ERR011116"	NA	6976	0	1766	1980242250	"European"	NA	3522.80131382915	NA	891.810080307094
"ERR011117"	NA	1372	0	402	761117850	"European"	NA	1802.61177687529	NA	528.170506052381
"ERR011118"	0.00154536	2796	0	817	1603182450	"European"	0.000963932707721445	1744.03106770536	NA	509.611367065551
"ERR011119"	0.00154536	3885	0	1262	1972521150	"European"	0.000783444071055968	1969.56063056662	NA	639.790351550857
"ERR011120"	0.00154536	4338	0	1298	2373654450	"European"	0.000651046743556123	1827.56171607034	NA	546.836124356686
"ERR011121"	0.00309071	4554	0	1238	2484109050	"European"	0.00124419256070904	1833.25285176188	NA	498.367815213265
"ERR011122"	NA	4014	0	1494	2365739850	"European"	NA	1696.72079539938	NA	631.514914879588
"ERR011123"	NA	4197	0	1479	2393485050	"European"	NA	1753.51001252337	NA	617.927402554697
"ERR011126"	1.86936	1885	1	2882	716729400	"European"	2.60818099550542	2630.00234119041	1.39522670620181	4021.04336727362
"ERR011127"	4.39953	3935	4	5332	1504358850	"European"	2.92452163258786	2615.73227690986	2.65894005276733	3544.36709033885
"ERR011128"	2.09682	4929	2	9759	2001085950	"European"	1.04784104850669	2463.16256430665	0.999457319661857	4876.85199129003
"ERR011131"	NA	2523	0	1453	726003300	"European"	NA	3475.19081524836	NA	2001.36831333962
"ERR011132"	NA	4687	0	2550	1355083800	"European"	NA	3458.82667920611	NA	1881.80243908163
"ERR011133"	NA	8311	0	4612	1998274350	"European"	NA	4159.08856559161	NA	2307.99139267338
"ERR011140"	1.76298	3104	0	1726	1514134050	"European"	1.16434869158381	2050.01664152523	NA	1139.92549074502
"ERR011141"	0.950085	4420	0	2476	1920459150	"European"	0.494717630416664	2301.53294330681	NA	1289.27501530038
"ERR011142"	0.00154536	2373	1	1421	1343809950	"European"	0.00114998404350258	1765.87470572011	0.744152846911128	1057.44119546071
"ERR011143"	NA	2173	0	1061	625248750	"European"	NA	3475.41678411992	NA	1696.92462399965
"ERR011148"	NA	4590	0	1169	1606639800	"European"	NA	2856.89424599092	NA	727.605528009452
"ERR011149"	NA	5311	0	998	2009100480	"European"	NA	2643.47156992367	NA	496.73971507886
"ERR011150"	NA	5566	1	6795	1715637300	"European"	NA	3244.27546544949	0.582873781072491	3960.62734238758
"ERR011151"	NA	6269	0	5027	1963355640	"European"	NA	3193.00277152029	NA	2560.41233568871
"ERR011152"	0.00154536	7119	0	994	1633980000	"European"	0.000945764330040759	4356.84647302905	NA	608.330579321656
"ERR011153"	NA	6298	0	816	1177126650	"European"	NA	5350.3163826934	NA	693.213427798954
"ERR011156"	3.02041	4866	7	884	1547622450	"European"	1.95164524784452	3144.17770303086	4.52306697928813	571.19874424153
"ERR011157"	1.97176	7184	9	752	2070749040	"European"	0.952196505666375	3469.27602583846	4.34625337312724	363.153615176854
"ERR011158"	0.190027	2282	0	1830	1519008600	"European"	0.125099357567824	1502.29564203916	NA	1204.73313975971
"ERR011159"	0.0890125	2961	0	1603	1880726520	"European"	0.047328784410399	1574.39158139802	NA	852.330194184745
"ERR011160"	2.8645	1109	1	513	1615259100	"European"	1.77339969791843	686.577156568875	0.619095722785279	317.596105788848
"ERR011161"	1.45254	1231	0	412	2038526280	"European"	0.712544162050244	603.867613617422	NA	202.106788635563
"ERR011162"	NA	2551	0	1655	1370018250	"European"	NA	1862.01899135285	NA	1208.01310493492
"ERR011163"	NA	3092	0	1496	1909630440	"European"	NA	1619.16145408742	NA	783.397650489903
"ERR011164"	NA	3605	0	1163	1369484700	"European"	NA	2632.37698091844	NA	849.224529489084
"ERR011165"	0.00154536	6068	0	2006	2005017900	"European"	0.000770746236230609	3026.40689641723	NA	1000.48982106344
"ERR011166"	NA	891	0	261	721026450	"European"	NA	1235.73830058523	NA	361.983946636077
"ERR011167"	NA	3100	0	1419	2083950300	"European"	NA	1487.55946818885	NA	680.918350116123
"ERR011168"	NA	1925	0	710	1638302100	"European"	NA	1174.99696789743	NA	433.37550504269
"ERR011169"	NA	3035	0	1142	2055897450	"European"	NA	1476.24094771848	NA	555.475177032784
"ERR011170"	0.00154536	4197	0	729	1572453000	"European"	0.000982770232242235	2669.07818548472	NA	463.606861381548
"ERR011171"	NA	6166	1	1031	2005110150	"European"	NA	3075.14277956251	0.498725718385097	514.186215655035
"ERR011172"	NA	3584	0	789	1296469200	"European"	NA	2764.43127225853	NA	608.575969255575
"ERR011173"	NA	6847	0	1569	1855841700	"European"	NA	3689.43105438357	NA	845.438487560658
"ERR011174"	NA	4850	0	1075	1435107300	"European"	NA	3379.53824079914	NA	749.072909043108
"ERR011175"	NA	8911	5	2479	1974324750	"European"	NA	4513.4418742408	2.53251143207317	1255.61916802188
"ERR011176"	0.00309071	2740	0	867	1325833950	"European"	0.00233114410745026	2066.62380307881	NA	653.928042799025
"ERR011177"	NA	4881	0	1647	1877799600	"European"	NA	2599.31890495663	NA	877.090398783768
"ERR011178"	NA	2388	1	509	1301896950	"European"	NA	1834.24655845457	0.768109949101578	390.967964092703
"ERR011179"	NA	4532	0	798	2016672900	"European"	NA	2247.26578117849	NA	395.701256262233
"ERR011180"	NA	1375	0	1647	1354937550	"European"	NA	1014.80691859193	NA	1215.5541781243
"ERR011181"	0.00154536	1920	0	2837	1972768800	"European"	0.000783345722012635	973.25140178616	NA	1438.0803264934
"ERR011182"	0.00309071	2256	0	656	1320412500	"European"	0.00234071549610444	1708.55698503309	NA	496.814442456429
"ERR011183"	NA	5471	0	1603	1935062100	"European"	NA	2827.29944429174	NA	828.397186839637
"ERR011184"	0.00463607	4189	0	1057	1741544100	"European"	0.00266204570989618	2405.33673537179	NA	606.932663950342
"ERR011185"	0.00463607	5774	0	1155	1958712150	"European"	0.00236689704508138	2947.85530380255	NA	589.673168668505
"ERR011186"	105.609	1608	1	917	1375708650	"European"	76.766981148225	1168.85214031328	0.726898097209754	666.565555141345
"ERR011187"	58.0775	2665	0	1591	1988931750	"European"	29.2003483779672	1339.91525853011	NA	799.926895430172
"ERR011188"	16.1645	5933	0	5579	1731628200	"European"	9.33485606205766	3426.25512797724	NA	3221.82325282067
"ERR011189"	12.1239	8707	0	6338	1975576200	"European"	6.13689312515508	4407.32177275673	NA	3208.17794828668
"ERR011190"	0.664277	1309	0	969	907827450	"European"	0.731721650408346	1441.90396534055	NA	1067.38345486249
"ERR011191"	0.415629	2918	0	2722	1776730500	"European"	0.233929118681758	1642.3424936984	NA	1532.02750782969
"ERR011192"	NA	6245	3	1515	1615465800	"European"	NA	3865.75809899535	1.85704952713948	937.810011205437
"ERR011193"	0.00154536	3228	0	498	404220300	"European"	0.00382306380951179	7985.74440719578	NA	1232.00146058968
"ERR011194"	NA	2656	1	822	1584537600	"European"	NA	1676.19878505881	0.631098940157684	518.763328809616
"ERR011195"	NA	1250	0	419	438032700	"European"	NA	2853.66823070515	NA	956.549590932366
"ERR011196"	NA	5713	0	6075	1640291700	"European"	NA	3482.91709334382	NA	3703.60954700923
"ERR011197"	NA	3653	0	4176	658690200	"European"	NA	5545.85448515858	NA	6339.85445661709
"ERR011198"	NA	2081	0	1384	1733451150	"European"	NA	1200.49532402456	NA	798.407269798171
"ERR011199"	NA	2401	0	1871	1850769600	"European"	NA	1297.29816180253	NA	1010.93080413683
"ERR011200"	0.00154536	9473	2	1547	1522702350	"European"	0.00101487989428794	6221.17644988201	1.31345433334361	1015.95692684128
"ERR011201"	NA	3927	0	1096	423895950	"European"	NA	9264.06586333273	NA	2585.54015437043
"ERR011202"	2.62312	5351	3	3357	1588906950	"European"	1.65089591936142	3367.72395639657	1.88809042593715	2112.77318662367
"ERR011203"	1.11389	3829	0	2391	554037000	"European"	2.01049749384969	6911.09077552582	NA	4315.59625079191
"ERR011204"	0.00154536	3236	1	1333	1293656550	"European"	0.0011945674452775	2501.43672213463	0.773002695344448	1030.41259289415
"ERR011205"	NA	6398	0	1976	1952405250	"European"	NA	3276.98360778327	NA	1012.08496545479
"ERR011206"	NA	3260	0	1189	1273967250	"European"	NA	2558.93548283914	NA	933.304996655134
"ERR011207"	NA	5331	0	1942	1895414100	"European"	NA	2812.57800076511	NA	1024.57821749875
"ERR011208"	2.79249	2085	0	1508	1502789700	"European"	1.85820411199252	1387.41967688493	NA	1003.46708524819
"ERR011209"	1.53522	3385	0	2325	2030312250	"European"	0.75614970061871	1667.23123499846	NA	1145.14405358092
"ERR011210"	NA	3171	0	1276	1698677250	"European"	NA	1866.74661122353	NA	751.172713945513
"ERR011211"	0.00463607	6059	0	4017	1986435750	"European"	0.0023338635543586	3050.1867477969	NA	2022.21491432582
"ERR011212"	NA	8171	0	3601	1206901200	"European"	NA	6770.23106779577	NA	2983.67422287756
"ERR011213"	NA	18755	0	6242	2021603700	"European"	NA	9277.28812526411	NA	3087.64769276985
"ERR011214"	NA	1984	0	1161	1739268300	"European"	NA	1140.70957310037	NA	667.522083855608
"ERR011215"	NA	3003	0	1586	1996670400	"European"	NA	1504.00386563551	NA	794.322387911395
"ERR011216"	8.57545	1477	0	1480	1501885950	"European"	5.70978775052793	983.430199876362	NA	985.427688433999
"ERR011217"	3.99337	1788	0	2211	1574191650	"European"	2.53677498543459	1135.82104186615	NA	1404.53038230764
"ERR011218"	NA	1686	0	655	1263342150	"European"	NA	1334.5553300822	NA	518.466038673688
"ERR011219"	NA	2919	2	885	1819904250	"European"	NA	1603.93053645542	1.09895891500885	486.289319891417
"ERR011220"	NA	9764	4	2262	1656953100	"European"	NA	5892.74373547447	2.414069535221	1365.15632216748
"ERR011221"	NA	12717	4	2581	1676347200	"European"	NA	7586.13728707275	2.38614053222387	1539.65717841745
"ERR011222"	4.18566	8495	0	1702	1402545000	"European"	2.984332053517	6056.84666089145	NA	1213.50830098143
"ERR011223"	2.8245	9667	0	1732	1335876900	"European"	2.11434152353409	7236.44521437567	NA	1296.52664852577
"ERR011224"	2.62965	1023	0	4206	1775668350	"European"	1.48093533344783	576.121098289554	NA	2368.68557126673
"ERR011225"	3.34666	1377	0	3497	1671145500	"European"	2.0026143743917	823.985703219738	NA	2092.57661885216
