"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"sample_id"	"project_id"	"mgrast_id"	"biome"	"feature"	"material"	"env_package"	"location"	"country"	"continent"	"latitude"	"longitude"	"collection_date"	"samp_collect_device"
"mgm4483819.3"	NA	1279	3406532100	NA	375.455143957105	"mgs184019"	"mgp8744"	"-"	"terrestrial biome"	"agricultural soil"	"soil"	"miscellaneous"	"Elora research station,Guelph,ON"	"Canada"	"-"	43.47417	80.40972	"2010-05-05"	"-"
"mgm4483820.3"	NA	640	1601830950	NA	399.542785710315	"mgs184013"	"mgp8744"	"-"	"terrestrial biome"	"canopy"	"soil"	"miscellaneous"	"Port Renfrew, Vancouver Island"	"Canada"	"-"	48.60783	124.22522	"2010-05-09"	"-"
"mgm4483883.3"	NA	251	5912474552	NA	42.4526140099994	"mgs192566"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4483943.3"	NA	584	5721234486	NA	102.075872161692	"mgs192563"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4484670.3"	NA	182	5297799056	NA	34.3538888652027	"mgs192560"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4484859.3"	NA	402	5578747322	NA	72.0591876270678	"mgs192557"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4484865.3"	NA	818	4464330088	NA	183.230178744794	"mgs192554"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4486239.3"	NA	199	4561264030	NA	43.628257143448	"mgs192551"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4489569.3"	NA	5825	5365072126	NA	1085.72631703703	"mgs139000"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4489582.3"	NA	9232	3792801995	NA	2434.08435562163	"mgs139003"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
